epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6887,2.23298,2.99212,0.94303,0.76306,0.23481,0.23687,0.07805,2.27578,2.25116,0.92785,0.00332285,0.00332285,0.00332285
2,60.3422,2.27221,2.18053,0.95036,0.74142,0.24349,0.22788,0.08783,2.28447,1.7571,0.92561,0.00664959,0.00664959,0.00664959
3,89.0103,2.34162,1.82087,0.96858,0.81156,0.23178,0.265,0.10397,2.36485,1.86472,0.97951,0.00996974,0.00996974,0.00996974
4,114.242,2.32183,1.63186,0.96953,0.79328,0.03863,0.05028,0.01601,4.76125,4.14521,1.97899,0.0099703,0.0099703,0.0099703
5,139.805,2.22918,1.53495,0.95411,0.83011,0.21745,0.24861,0.09136,2.4575,1.75837,0.9737,0.0099604,0.0099604,0.0099604
6,165.456,2.18057,1.46511,0.94017,0.53757,0.13808,0.15649,0.06194,3.27504,2.73401,1.28441,0.0099505,0.0099505,0.0099505
7,191.358,2.12365,1.40705,0.93445,0.3423,0.27139,0.25397,0.10511,2.55771,1.74882,1.00637,0.0099406,0.0099406,0.0099406
8,217.012,2.09941,1.39011,0.92466,0.21331,0.04258,0.11666,0.05939,3.14633,5.59053,1.5434,0.0099307,0.0099307,0.0099307
9,244.522,2.07879,1.35966,0.92969,0.35936,0.24802,0.2432,0.11163,2.4253,2.28054,1.04053,0.0099208,0.0099208,0.0099208
10,270.212,2.04091,1.32847,0.92304,0.28684,0.21317,0.20786,0.08589,2.90679,2.13692,1.1191,0.0099109,0.0099109,0.0099109
11,296.473,2.009,1.28991,0.9183,0.46866,0.41768,0.42777,0.18781,1.99669,1.28664,0.90678,0.009901,0.009901,0.009901
12,322.022,1.99688,1.2645,0.91172,0.47697,0.33422,0.35705,0.15897,2.07648,1.47038,0.92309,0.0098911,0.0098911,0.0098911
13,346.334,1.98404,1.25925,0.91161,0.39368,0.46075,0.39813,0.17035,2.00947,1.28119,0.9038,0.0098812,0.0098812,0.0098812
14,370.838,1.97523,1.25256,0.91073,0.24463,0.10599,0.10887,0.03832,3.56874,2.98309,1.56955,0.0098713,0.0098713,0.0098713
15,395.434,1.95037,1.21018,0.90927,0.13054,0.04779,0.03185,0.01183,4.41171,2.77911,3.51036,0.0098614,0.0098614,0.0098614
16,420.698,1.95762,1.21014,0.90733,0.4613,0.45251,0.43566,0.21342,1.91151,1.21375,0.8949,0.0098515,0.0098515,0.0098515
