epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,445.376,1.94284,1.20944,0.90553,0.45626,0.40729,0.41975,0.20235,1.91424,1.23568,0.89608,0.0098416,0.0098416,0.0098416
18,472.337,1.92696,1.18972,0.90623,0.87877,0.32856,0.38731,0.15313,2.06394,1.25347,0.91131,0.0098317,0.0098317,0.0098317
19,496.247,1.9344,1.1853,0.90377,0.38873,0.41512,0.42217,0.1811,1.95984,1.22471,0.89764,0.0098218,0.0098218,0.0098218
20,520.603,1.89987,1.17263,0.89952,0.44075,0.44124,0.42713,0.20458,1.84655,1.26997,0.88248,0.0098119,0.0098119,0.0098119
21,544.32,1.90081,1.16531,0.89804,0.40374,0.44947,0.40349,0.17895,1.94903,1.24694,0.8977,0.009802,0.009802,0.009802
22,569.953,1.89268,1.16127,0.89851,0.47982,0.4695,0.44412,0.21387,1.8228,1.10207,0.88471,0.0097921,0.0097921,0.0097921
23,596.083,1.89149,1.16476,0.89589,0.39023,0.39943,0.38388,0.17013,1.94795,1.23759,0.89891,0.0097822,0.0097822,0.0097822
24,621.315,1.86952,1.14411,0.89919,0.56795,0.45503,0.47641,0.21566,1.87229,1.13133,0.88497,0.0097723,0.0097723,0.0097723
25,647.731,1.86829,1.13844,0.89487,0.54463,0.44249,0.47394,0.2278,1.82874,1.11081,0.88141,0.0097624,0.0097624,0.0097624
26,673.705,1.86263,1.13336,0.894,0.55303,0.42649,0.42506,0.1948,1.93057,1.21102,0.89196,0.0097525,0.0097525,0.0097525
27,697.825,1.86225,1.11615,0.89265,0.42181,0.47458,0.42767,0.21112,1.85265,1.18848,0.88722,0.0097426,0.0097426,0.0097426
28,721.565,1.8588,1.1142,0.89495,0.61578,0.47486,0.49873,0.23417,1.89652,1.11541,0.89179,0.0097327,0.0097327,0.0097327
29,747.242,1.86187,1.13012,0.89767,0.57977,0.42367,0.44454,0.21092,1.88628,1.19048,0.88846,0.0097228,0.0097228,0.0097228
30,772.403,1.85727,1.11425,0.89567,0.55541,0.45869,0.4753,0.23692,1.80869,1.0857,0.88068,0.0097129,0.0097129,0.0097129
31,797.395,1.83639,1.10292,0.88908,0.6117,0.49953,0.50479,0.24483,1.7982,1.06108,0.87664,0.009703,0.009703,0.009703
32,823.781,1.82731,1.10288,0.89627,0.65256,0.5064,0.52886,0.24996,1.76729,1.04192,0.87227,0.0096931,0.0096931,0.0096931
33,852.019,1.83128,1.10254,0.89174,0.61972,0.48652,0.50544,0.22574,1.838,1.11501,0.88077,0.0096832,0.0096832,0.0096832
34,879.698,1.8204,1.07818,0.89137,0.67114,0.46564,0.50911,0.2482,1.88706,1.10317,0.88793,0.0096733,0.0096733,0.0096733
35,906.632,1.80875,1.07198,0.88862,0.61012,0.50183,0.51912,0.24868,1.83854,1.086,0.8818,0.0096634,0.0096634,0.0096634
36,931.97,1.80592,1.07485,0.88675,0.69773,0.48862,0.53745,0.27121,1.76351,1.01576,0.8733,0.0096535,0.0096535,0.0096535
37,958.933,1.82608,1.07215,0.89193,0.66852,0.48061,0.52804,0.2748,1.74064,1.03133,0.8736,0.0096436,0.0096436,0.0096436
38,985.27,1.80341,1.04895,0.88419,0.63051,0.47822,0.50866,0.24959,1.82812,1.08115,0.88456,0.0096337,0.0096337,0.0096337
39,1011.24,1.78339,1.0445,0.88593,0.73841,0.47953,0.54822,0.26796,1.7235,0.98095,0.86994,0.0096238,0.0096238,0.0096238
40,1037.74,1.79133,1.05239,0.885,0.59473,0.47166,0.49919,0.24607,1.7601,1.02931,0.86933,0.0096139,0.0096139,0.0096139
41,1064.2,1.78889,1.07217,0.88198,0.76568,0.50474,0.56878,0.28326,1.72929,0.97289,0.87009,0.009604,0.009604,0.009604
42,1089.01,1.78444,1.04924,0.88516,0.66877,0.48256,0.53799,0.25548,1.8111,1.00182,0.87894,0.0095941,0.0095941,0.0095941
43,1113.78,1.78551,1.05212,0.88749,0.65299,0.46757,0.5088,0.24016,1.87791,1.04784,0.88791,0.0095842,0.0095842,0.0095842
44,1140.75,1.78461,1.05366,0.88504,0.73857,0.4873,0.55484,0.26762,1.77725,1.00933,0.87409,0.0095743,0.0095743,0.0095743
45,1167.74,1.76915,1.03677,0.88149,0.62023,0.44745,0.50365,0.24655,1.83661,1.12406,0.88181,0.0095644,0.0095644,0.0095644
46,1193.83,1.77,1.03595,0.88437,0.66151,0.50603,0.54786,0.274,1.73152,0.96273,0.86804,0.0095545,0.0095545,0.0095545
47,1221.55,1.76721,1.02801,0.88574,0.60175,0.48905,0.50956,0.24536,1.78345,1.02819,0.87287,0.0095446,0.0095446,0.0095446
48,1248.83,1.74585,1.0179,0.88055,0.6926,0.53827,0.58278,0.28453,1.69827,0.97799,0.86531,0.0095347,0.0095347,0.0095347
49,1276.73,1.76765,1.03122,0.88171,0.67268,0.50952,0.55067,0.2595,1.84044,1.00887,0.88277,0.0095248,0.0095248,0.0095248
50,1302.39,1.75561,1.02471,0.88107,0.73558,0.50952,0.56503,0.27338,1.78209,0.98349,0.8779,0.0095149,0.0095149,0.0095149
51,1327.61,1.76042,1.02726,0.88516,0.76055,0.53441,0.59073,0.28365,1.72562,0.94995,0.86645,0.009505,0.009505,0.009505
52,1352.8,1.75685,1.02374,0.87839,0.77516,0.52964,0.5864,0.28511,1.71466,0.969,0.86554,0.0094951,0.0094951,0.0094951
53,1378.54,1.73054,1.00081,0.87918,0.73953,0.48432,0.54338,0.25006,1.88286,1.01288,0.88885,0.0094852,0.0094852,0.0094852
54,1403.56,1.7392,0.99793,0.87912,0.76526,0.51295,0.59072,0.29491,1.68007,0.9381,0.86316,0.0094753,0.0094753,0.0094753
55,1430.09,1.73035,0.99323,0.87882,0.82701,0.5361,0.58997,0.30501,1.71361,0.95375,0.86817,0.0094654,0.0094654,0.0094654
56,1454.38,1.74861,1.0064,0.87988,0.7157,0.51874,0.55415,0.27068,1.84232,1.01093,0.88404,0.0094555,0.0094555,0.0094555
57,1480.73,1.70583,0.97978,0.87666,0.80257,0.53743,0.59665,0.30902,1.65594,0.93643,0.86073,0.0094456,0.0094456,0.0094456
58,1505.28,1.73555,0.99748,0.88008,0.77928,0.53061,0.58703,0.28477,1.75602,0.97108,0.87184,0.0094357,0.0094357,0.0094357
59,1531.07,1.72445,0.98947,0.87873,0.78047,0.55131,0.60627,0.3021,1.66261,0.91565,0.86243,0.0094258,0.0094258,0.0094258
60,1555.21,1.731,0.9886,0.87711,0.73755,0.52829,0.58347,0.25652,1.83831,1.00222,0.8804,0.0094159,0.0094159,0.0094159
61,1580.23,1.71949,0.98125,0.88009,0.84824,0.51753,0.61847,0.31321,1.67243,0.90961,0.86365,0.009406,0.009406,0.009406
62,1604.7,1.72567,0.98305,0.87831,0.84639,0.52392,0.60975,0.31292,1.64398,0.91466,0.85835,0.0093961,0.0093961,0.0093961
63,1628.37,1.71089,0.98071,0.87468,0.71192,0.56826,0.61184,0.31283,1.65666,0.92334,0.86129,0.0093862,0.0093862,0.0093862
64,1651.94,1.71639,0.99119,0.87973,0.75883,0.57917,0.61503,0.32307,1.63005,0.89258,0.8582,0.0093763,0.0093763,0.0093763
65,1675.92,1.72247,0.98378,0.87699,0.74953,0.56828,0.61888,0.30759,1.68595,0.90209,0.86104,0.0093664,0.0093664,0.0093664
66,1700.05,1.70034,0.96079,0.87554,0.75736,0.57396,0.61518,0.32561,1.64998,0.89615,0.86024,0.0093565,0.0093565,0.0093565
67,1724.95,1.7048,0.97289,0.87664,0.74223,0.54823,0.58441,0.30281,1.67506,0.93608,0.86121,0.0093466,0.0093466,0.0093466
68,1748.38,1.72278,0.98791,0.87849,0.84985,0.58484,0.64459,0.34307,1.61429,0.88001,0.85674,0.0093367,0.0093367,0.0093367
69,1772.41,1.69423,0.96251,0.87361,0.88091,0.54991,0.63121,0.33543,1.62402,0.86909,0.85673,0.0093268,0.0093268,0.0093268
70,1795.29,1.70375,0.97043,0.87764,0.87902,0.55535,0.64586,0.33964,1.60977,0.88553,0.85752,0.0093169,0.0093169,0.0093169
71,1818.01,1.68423,0.95811,0.87143,0.8241,0.56205,0.62976,0.32982,1.62716,0.87085,0.85666,0.009307,0.009307,0.009307
72,1841.39,1.69356,0.96069,0.87481,0.77854,0.55863,0.62987,0.33128,1.61119,0.87346,0.85562,0.0092971,0.0092971,0.0092971
73,1864.61,1.68775,0.95297,0.87029,0.74389,0.60405,0.65698,0.34211,1.60273,0.86488,0.8551,0.0092872,0.0092872,0.0092872
74,1887.97,1.68765,0.95343,0.87479,0.7918,0.55305,0.6337,0.32524,1.6756,0.89605,0.86224,0.0092773,0.0092773,0.0092773
75,1910.92,1.6996,0.95163,0.87537,0.80396,0.57754,0.64552,0.33807,1.59394,0.8576,0.85244,0.0092674,0.0092674,0.0092674
76,1933.83,1.6834,0.93953,0.87529,0.74897,0.60175,0.62252,0.33294,1.6135,0.87304,0.85786,0.0092575,0.0092575,0.0092575
77,1956.35,1.68748,0.95465,0.87387,0.81607,0.5818,0.64436,0.34083,1.60785,0.85507,0.85593,0.0092476,0.0092476,0.0092476
78,1978.74,1.66366,0.93607,0.86849,0.75884,0.60745,0.64151,0.33661,1.60483,0.85351,0.85642,0.0092377,0.0092377,0.0092377
79,2001.64,1.66995,0.93645,0.87059,0.79253,0.59441,0.64639,0.32873,1.65815,0.88245,0.86071,0.0092278,0.0092278,0.0092278
80,2023.91,1.66926,0.93589,0.87108,0.77035,0.60092,0.66265,0.34643,1.61175,0.86061,0.8557,0.0092179,0.0092179,0.0092179
81,2047.13,1.67247,0.94235,0.87276,0.81766,0.56386,0.65018,0.33616,1.61585,0.8664,0.8575,0.009208,0.009208,0.009208
82,2069.8,1.64679,0.91295,0.86649,0.81341,0.60267,0.67288,0.34639,1.60024,0.83721,0.85498,0.0091981,0.0091981,0.0091981
83,2093.23,1.67754,0.92891,0.87115,0.82983,0.59093,0.66893,0.34963,1.58386,0.85408,0.85308,0.0091882,0.0091882,0.0091882
84,2116.43,1.66863,0.94333,0.87236,0.82115,0.58442,0.66234,0.35065,1.58973,0.86365,0.85283,0.0091783,0.0091783,0.0091783
85,2139.8,1.66565,0.93023,0.87083,0.79644,0.61669,0.66587,0.35027,1.59981,0.85104,0.8546,0.0091684,0.0091684,0.0091684
86,2162.29,1.65673,0.9301,0.86983,0.78589,0.60916,0.65165,0.33977,1.60716,0.84962,0.85529,0.0091585,0.0091585,0.0091585
87,2185.92,1.6649,0.92365,0.8715,0.7959,0.61266,0.66295,0.34443,1.60566,0.83395,0.8545,0.0091486,0.0091486,0.0091486
88,2208.88,1.66582,0.93368,0.87063,0.83594,0.61487,0.68189,0.35708,1.5865,0.82464,0.85352,0.0091387,0.0091387,0.0091387
89,2232.34,1.64134,0.92746,0.86773,0.87536,0.60093,0.67879,0.35392,1.58883,0.82366,0.85214,0.0091288,0.0091288,0.0091288
90,2255.48,1.64751,0.91755,0.86698,0.86576,0.58703,0.66776,0.34815,1.59195,0.83171,0.85494,0.0091189,0.0091189,0.0091189
91,2278.84,1.65779,0.91687,0.86976,0.82562,0.61791,0.67002,0.35546,1.56924,0.82261,0.85112,0.009109,0.009109,0.009109
92,2301.97,1.63302,0.92121,0.86714,0.82908,0.61789,0.67947,0.35824,1.5568,0.81397,0.8497,0.0090991,0.0090991,0.0090991
93,2324.57,1.64643,0.91626,0.86841,0.8307,0.62444,0.6928,0.36958,1.56018,0.81927,0.84956,0.0090892,0.0090892,0.0090892
94,2347.32,1.63415,0.90795,0.86848,0.82629,0.62466,0.69567,0.37002,1.55744,0.81234,0.85,0.0090793,0.0090793,0.0090793
95,2370.03,1.63379,0.91189,0.86628,0.81766,0.64825,0.69209,0.36903,1.55494,0.81818,0.84893,0.0090694,0.0090694,0.0090694
96,2392.78,1.63803,0.91425,0.86674,0.84694,0.62248,0.68774,0.36401,1.55005,0.81555,0.84884,0.0090595,0.0090595,0.0090595
97,2415.15,1.6225,0.90314,0.87012,0.82802,0.63314,0.68599,0.36804,1.5668,0.80642,0.85172,0.0090496,0.0090496,0.0090496
98,2438.06,1.64654,0.91659,0.86821,0.87316,0.63529,0.69034,0.36573,1.54069,0.8066,0.85001,0.0090397,0.0090397,0.0090397
99,2460.37,1.62603,0.90669,0.86233,0.89341,0.6191,0.69475,0.37284,1.53312,0.80211,0.84882,0.0090298,0.0090298,0.0090298
100,2484.29,1.62774,0.91613,0.86529,0.81232,0.62846,0.67448,0.36463,1.54963,0.80401,0.85005,0.0090199,0.0090199,0.0090199
101,2506.96,1.61851,0.89893,0.86608,0.83639,0.63229,0.69473,0.37222,1.53999,0.806,0.85064,0.00901,0.00901,0.00901
102,2529.58,1.64172,0.90711,0.86877,0.84229,0.62222,0.69674,0.37679,1.54489,0.79944,0.85018,0.0090001,0.0090001,0.0090001
103,2552.53,1.63204,0.90427,0.8665,0.81697,0.6495,0.70213,0.38144,1.55067,0.79096,0.84994,0.0089902,0.0089902,0.0089902
104,2575.52,1.60974,0.8921,0.86349,0.8395,0.63551,0.70239,0.37846,1.5414,0.79185,0.84905,0.0089803,0.0089803,0.0089803
105,2598.52,1.62868,0.90826,0.86617,0.86289,0.62713,0.70323,0.37705,1.54365,0.79189,0.84913,0.0089704,0.0089704,0.0089704
106,2621.86,1.62301,0.89121,0.86613,0.81211,0.65072,0.71357,0.38027,1.54144,0.79079,0.84841,0.0089605,0.0089605,0.0089605
107,2644.69,1.60549,0.88659,0.86387,0.85351,0.63564,0.7119,0.3818,1.53263,0.78445,0.84783,0.0089506,0.0089506,0.0089506
108,2668.32,1.62262,0.90063,0.86614,0.86945,0.65907,0.71235,0.38266,1.53463,0.78278,0.84769,0.0089407,0.0089407,0.0089407
109,2691.66,1.61836,0.88761,0.86442,0.85296,0.65406,0.70407,0.38261,1.53113,0.78423,0.84701,0.0089308,0.0089308,0.0089308
110,2714.67,1.61148,0.89752,0.86319,0.87285,0.64208,0.70369,0.38666,1.52615,0.78378,0.84666,0.0089209,0.0089209,0.0089209
111,2737.92,1.60873,0.89665,0.86401,0.84694,0.65664,0.70944,0.38306,1.53584,0.78827,0.84703,0.008911,0.008911,0.008911
112,2760.38,1.6096,0.88245,0.86432,0.84316,0.64488,0.70275,0.38582,1.5343,0.78957,0.84689,0.0089011,0.0089011,0.0089011
113,2783.24,1.60951,0.88023,0.8644,0.86522,0.6433,0.6983,0.38883,1.53035,0.78305,0.84634,0.0088912,0.0088912,0.0088912
114,2806.26,1.60051,0.87138,0.86325,0.83946,0.66244,0.69891,0.3829,1.53262,0.78352,0.846,0.0088813,0.0088813,0.0088813
115,2828.97,1.6018,0.88755,0.86374,0.85474,0.65445,0.70383,0.38534,1.52572,0.78621,0.84543,0.0088714,0.0088714,0.0088714
116,2851.92,1.58777,0.88028,0.85841,0.85183,0.6536,0.70777,0.38256,1.52661,0.78758,0.84556,0.0088615,0.0088615,0.0088615
117,2875.1,1.60204,0.87781,0.86076,0.86265,0.64504,0.70652,0.38804,1.52672,0.78187,0.84542,0.0088516,0.0088516,0.0088516
118,2897.81,1.60113,0.88462,0.86393,0.90059,0.63229,0.71182,0.38959,1.53228,0.78146,0.84621,0.0088417,0.0088417,0.0088417
119,2920.97,1.59799,0.87539,0.8621,0.8786,0.64707,0.7219,0.38926,1.53131,0.78094,0.84705,0.0088318,0.0088318,0.0088318
120,2943.74,1.58744,0.87826,0.86182,0.91448,0.62839,0.71892,0.38619,1.53073,0.7787,0.84581,0.0088219,0.0088219,0.0088219
121,2966.98,1.58577,0.88014,0.86097,0.93059,0.62392,0.72757,0.39104,1.51957,0.77292,0.84454,0.008812,0.008812,0.008812
122,2989.83,1.59147,0.86614,0.86466,0.91981,0.63122,0.71895,0.39167,1.51098,0.77234,0.84502,0.0088021,0.0088021,0.0088021
123,3012.57,1.59127,0.87215,0.86427,0.86481,0.64564,0.71511,0.38762,1.50588,0.76793,0.84498,0.0087922,0.0087922,0.0087922
124,3035.17,1.59347,0.87153,0.86391,0.90644,0.63991,0.7156,0.3899,1.50693,0.77284,0.84506,0.0087823,0.0087823,0.0087823
125,3057.73,1.60075,0.87845,0.86499,0.86289,0.64609,0.71706,0.39312,1.49575,0.76236,0.84389,0.0087724,0.0087724,0.0087724
126,3080.72,1.57304,0.86177,0.85999,0.89563,0.63659,0.71611,0.3902,1.50329,0.76255,0.84466,0.0087625,0.0087625,0.0087625
127,3103.7,1.57805,0.85504,0.86018,0.89456,0.63752,0.7165,0.39503,1.50321,0.76628,0.84497,0.0087526,0.0087526,0.0087526
128,3126.59,1.57665,0.8639,0.85975,0.8781,0.63693,0.72176,0.39617,1.50103,0.76205,0.84437,0.0087427,0.0087427,0.0087427
129,3149.04,1.5741,0.8508,0.86278,0.86587,0.65652,0.72791,0.40065,1.49978,0.75815,0.84448,0.0087328,0.0087328,0.0087328
130,3171.94,1.57378,0.8503,0.85762,0.84136,0.66673,0.72623,0.39581,1.50127,0.75594,0.8447,0.0087229,0.0087229,0.0087229
131,3195.31,1.58616,0.86718,0.86055,0.90887,0.63556,0.72725,0.39466,1.50008,0.75349,0.84484,0.008713,0.008713,0.008713
132,3218.23,1.5664,0.85482,0.86251,0.89307,0.6433,0.72769,0.3933,1.50519,0.75364,0.84546,0.0087031,0.0087031,0.0087031
133,3241.04,1.57114,0.86493,0.85901,0.87954,0.65012,0.72575,0.39436,1.50261,0.75383,0.84547,0.0086932,0.0086932,0.0086932
134,3263.91,1.56881,0.85737,0.86153,0.90669,0.62268,0.72605,0.39873,1.49632,0.75072,0.84444,0.0086833,0.0086833,0.0086833
135,3286.53,1.5727,0.85767,0.86036,0.92586,0.61752,0.7221,0.39626,1.49209,0.75213,0.84373,0.0086734,0.0086734,0.0086734
136,3309.51,1.57224,0.85274,0.86123,0.92768,0.6219,0.72276,0.39678,1.4885,0.75278,0.84341,0.0086635,0.0086635,0.0086635
137,3332.3,1.57862,0.85525,0.86005,0.90331,0.63561,0.72211,0.39734,1.48898,0.75086,0.84374,0.0086536,0.0086536,0.0086536
138,3355.14,1.53956,0.83999,0.85958,0.8949,0.63558,0.72371,0.39978,1.49075,0.751,0.8438,0.0086437,0.0086437,0.0086437
139,3377.89,1.55732,0.85099,0.85819,0.90016,0.63446,0.72415,0.39851,1.48818,0.74901,0.8434,0.0086338,0.0086338,0.0086338
140,3400.7,1.55655,0.85223,0.85793,0.88554,0.63266,0.72909,0.39972,1.49067,0.74909,0.84409,0.0086239,0.0086239,0.0086239
141,3423.94,1.5611,0.84875,0.85728,0.88317,0.64529,0.72811,0.39782,1.4916,0.75079,0.84433,0.008614,0.008614,0.008614
142,3446.79,1.57064,0.85534,0.86149,0.88347,0.6388,0.7222,0.39669,1.49157,0.75101,0.84433,0.0086041,0.0086041,0.0086041
143,3469.59,1.5556,0.83788,0.85837,0.8985,0.6339,0.72256,0.39335,1.49148,0.74941,0.84438,0.0085942,0.0085942,0.0085942
144,3492.91,1.55471,0.84147,0.85993,0.82212,0.67446,0.7255,0.3961,1.48323,0.74629,0.84371,0.0085843,0.0085843,0.0085843
145,3515.77,1.55607,0.84405,0.8596,0.81722,0.66726,0.72726,0.39903,1.4741,0.74184,0.84291,0.0085744,0.0085744,0.0085744
146,3538.67,1.54733,0.83666,0.85684,0.82311,0.67309,0.72786,0.3965,1.47393,0.74002,0.84276,0.0085645,0.0085645,0.0085645
147,3561.81,1.55987,0.84066,0.85841,0.8402,0.66872,0.72563,0.3969,1.47478,0.74134,0.84238,0.0085546,0.0085546,0.0085546
148,3584.66,1.55009,0.84681,0.85757,0.83377,0.6658,0.72571,0.39656,1.47671,0.74011,0.8422,0.0085447,0.0085447,0.0085447
149,3607.1,1.55,0.84768,0.85762,0.82659,0.65757,0.71875,0.40011,1.4704,0.73788,0.84161,0.0085348,0.0085348,0.0085348
150,3630.43,1.54476,0.8323,0.85756,0.87885,0.62981,0.71424,0.39797,1.47072,0.73815,0.84131,0.0085249,0.0085249,0.0085249
151,3653.33,1.54692,0.84084,0.8572,0.8628,0.63545,0.71691,0.39932,1.47242,0.73942,0.84105,0.008515,0.008515,0.008515
152,3677.08,1.54131,0.83493,0.85792,0.87351,0.64271,0.72041,0.39646,1.46972,0.73694,0.84112,0.0085051,0.0085051,0.0085051
153,3700.51,1.5513,0.83973,0.85581,0.84611,0.65183,0.724,0.39925,1.46835,0.73446,0.84053,0.0084952,0.0084952,0.0084952
154,3723.18,1.54444,0.83103,0.8568,0.84561,0.64655,0.71811,0.40061,1.46833,0.73607,0.83995,0.0084853,0.0084853,0.0084853
155,3746.58,1.55344,0.83548,0.85838,0.89079,0.63171,0.71494,0.39967,1.46759,0.73524,0.83978,0.0084754,0.0084754,0.0084754
156,3769.43,1.54168,0.83649,0.85558,0.91003,0.63771,0.7226,0.39918,1.46892,0.73411,0.84029,0.0084655,0.0084655,0.0084655
157,3792.51,1.54016,0.83217,0.8577,0.91903,0.6362,0.72218,0.3988,1.46821,0.73342,0.84039,0.0084556,0.0084556,0.0084556
158,3815.36,1.54005,0.8309,0.85617,0.89565,0.63184,0.71033,0.39863,1.47101,0.73579,0.84046,0.0084457,0.0084457,0.0084457
159,3838.4,1.53163,0.83269,0.85469,0.87199,0.64922,0.71712,0.40094,1.46997,0.73449,0.84049,0.0084358,0.0084358,0.0084358
160,3861.61,1.53001,0.82984,0.85675,0.90622,0.6375,0.71606,0.40044,1.4685,0.73566,0.84064,0.0084259,0.0084259,0.0084259
161,3884.66,1.53236,0.82426,0.85416,0.90495,0.63659,0.71006,0.39671,1.46725,0.73649,0.8406,0.008416,0.008416,0.008416
162,3907.29,1.53123,0.8319,0.8525,0.90026,0.63879,0.70825,0.39571,1.4674,0.73407,0.84035,0.0084061,0.0084061,0.0084061
163,3930.82,1.52866,0.82912,0.85499,0.8963,0.64053,0.70863,0.39739,1.46534,0.73359,0.84037,0.0083962,0.0083962,0.0083962
164,3953.77,1.53089,0.83339,0.855,0.87851,0.64682,0.70847,0.39638,1.46674,0.73641,0.84045,0.0083863,0.0083863,0.0083863
165,3976.26,1.53308,0.83518,0.85647,0.87911,0.64965,0.71009,0.39879,1.46287,0.73371,0.84003,0.0083764,0.0083764,0.0083764
166,3998.99,1.5316,0.81932,0.85511,0.87675,0.65096,0.71368,0.39863,1.46484,0.73559,0.84015,0.0083665,0.0083665,0.0083665
167,4021.27,1.51676,0.81964,0.85297,0.87487,0.6526,0.71476,0.40038,1.46409,0.73198,0.84004,0.0083566,0.0083566,0.0083566
168,4043.96,1.52542,0.82792,0.85206,0.88054,0.65256,0.7105,0.40229,1.46154,0.73196,0.83963,0.0083467,0.0083467,0.0083467
169,4066.65,1.52692,0.81843,0.85405,0.88951,0.64922,0.7107,0.40231,1.46262,0.73185,0.83954,0.0083368,0.0083368,0.0083368
170,4089.57,1.51507,0.82377,0.85315,0.88917,0.64126,0.71372,0.40199,1.46167,0.73177,0.83965,0.0083269,0.0083269,0.0083269
171,4112.06,1.52581,0.82096,0.8523,0.87976,0.64905,0.71421,0.40198,1.46084,0.73129,0.83943,0.008317,0.008317,0.008317
172,4135.08,1.50847,0.80665,0.85451,0.86699,0.65937,0.7196,0.40498,1.45887,0.73322,0.83902,0.0083071,0.0083071,0.0083071
173,4157.41,1.51689,0.8061,0.85419,0.85732,0.66564,0.71989,0.40489,1.45672,0.73047,0.83896,0.0082972,0.0082972,0.0082972
174,4180.64,1.51832,0.81868,0.85667,0.85592,0.66735,0.72143,0.40404,1.45638,0.72942,0.83887,0.0082873,0.0082873,0.0082873
175,4203.62,1.51957,0.82065,0.85454,0.85713,0.66599,0.72289,0.40484,1.45431,0.72755,0.83891,0.0082774,0.0082774,0.0082774
176,4226.94,1.49999,0.80952,0.8527,0.87002,0.66654,0.7329,0.40585,1.4517,0.72665,0.83879,0.0082675,0.0082675,0.0082675
177,4249.93,1.51092,0.81307,0.85305,0.87852,0.66284,0.7333,0.40543,1.45234,0.72804,0.83877,0.0082576,0.0082576,0.0082576
178,4273.52,1.51148,0.81256,0.85407,0.86982,0.65934,0.73413,0.40861,1.44835,0.72616,0.83834,0.0082477,0.0082477,0.0082477
179,4296.07,1.50508,0.80495,0.85308,0.87024,0.66708,0.73608,0.40664,1.44533,0.72528,0.83798,0.0082378,0.0082378,0.0082378
180,4318.55,1.49856,0.80866,0.8508,0.85925,0.6638,0.72801,0.40689,1.44316,0.72458,0.83791,0.0082279,0.0082279,0.0082279
181,4341.27,1.5222,0.81559,0.85365,0.85013,0.65821,0.72615,0.40595,1.44198,0.7243,0.83766,0.008218,0.008218,0.008218
182,4364.06,1.51487,0.81258,0.85658,0.84728,0.64965,0.72841,0.40652,1.44098,0.7231,0.83756,0.0082081,0.0082081,0.0082081
183,4386.6,1.50441,0.80371,0.85292,0.84989,0.6513,0.72832,0.40645,1.438,0.72377,0.83738,0.0081982,0.0081982,0.0081982
184,4409.53,1.50859,0.8126,0.85311,0.85735,0.64773,0.72887,0.40775,1.43806,0.72295,0.83742,0.0081883,0.0081883,0.0081883
